name: AMD Radeon HD 8450G, vendor: 1002, model: 9995
name: AMD Radeon HD 8470 Graphics, vendor: 1002, model: 6778
name: AMD Radeon HD 8470, vendor: 1002, model: 6778
name: AMD Radeon HD 8470D, vendor: 1002, model: 9996
name: AMD Radeon HD 8500M Series, vendor: 1002, model: 6663
name: AMD Radeon HD 8500M, vendor: 1002, model: 666F
name: AMD Radeon HD 8510, vendor: 1002, model: 6742
name: AMD Radeon HD 8510, vendor: 1002, model: 675F
name: AMD Radeon HD 8510G, vendor: 1002, model: 9999
name: AMD Radeon HD 8550, vendor: 1002, model: 675D
name: AMD Radeon HD 8550D, vendor: 1002, model: 999D
name: AMD Radeon HD 8550G, vendor: 1002, model: 990D
name: AMD Radeon HD 8570 Graphics, vendor: 1002, model: 6611
name: AMD Radeon HD 8570, vendor: 1002, model: 6611
name: AMD Radeon HD 8570, vendor: 1002, model: 6759
name: AMD Radeon HD 8570D, vendor: 1002, model: 990E
name: AMD Radeon HD 8600/8700M, vendor: 1002, model: 6600
name: AMD Radeon HD 8600M Series, vendor: 1002, model: 6660
name: AMD Radeon HD 8610G, vendor: 1002, model: 990F
name: AMD Radeon HD 8650D, vendor: 1002, model: 999C
name: AMD Radeon HD 8650G, vendor: 1002, model: 990B
name: AMD Radeon HD 8670 Graphics, vendor: 1002, model: 6610
name: AMD Radeon HD 8670, vendor: 1002, model: 6610
name: AMD Radeon HD 8670D, vendor: 1002, model: 990C
name: AMD Radeon HD 8760, vendor: 1002, model: 683D
name: AMD Radeon HD 8770, vendor: 1002, model: 665C
name: AMD Radeon HD 8790M, vendor: 1002, model: 6606
name: AMD Radeon HD 8800M Series, vendor: 1002, model: 6820
name: AMD Radeon HD 8800M Series, vendor: 1002, model: 6821
name: AMD Radeon HD 8800M Series, vendor: 1002, model: 6823
name: AMD Radeon HD 8800M Series, vendor: 1002, model: 682B
name: AMD Radeon HD 8870, vendor: 1002, model: 6818
name: AMD Radeon HD 8950, vendor: 1002, model: 6640
name: AMD Radeon HD 8950, vendor: 1002, model: 679A
name: AMD Radeon HD 8970 Graphics, vendor: 1002, model: 6798
name: AMD Radeon HD 8990, vendor: 1002, model: 679B
